id,teamid,playername,currentteam,status,position,jerseynumber,games,wins,losses,ties,shutouts,savepercentage,goalagainstaverage,saves,ot,gamesstarted,FPPG,hot,cold,lastupdated
8477970,1,Vitek Vanecek,New Jersey Devils,Y,Goalie,41,37,24,6,0,2,0.914376,2.353948,865,3,34,12.396317135135131,0,0,"02/23/2023, 02:24:01"
8478406,1,Mackenzie Blackwood,New Jersey Devils,Y,Goalie,29,17,8,5,0,0,0.900217,3.04339,415,2,16,9.495193823529409,0,0,"02/23/2023, 02:24:02"
8481033,1,Akira Schmid,New Jersey Devils,Y,Goalie,40,9,5,4,0,0,0.91866,2.236025,192,0,7,10.440579166666666,0,0,"02/23/2023, 02:24:04"
8473575,2,Semyon Varlamov,New York Islanders,Y,Goalie,40,19,10,7,0,1,0.910774,2.817609,541,2,19,13.648894815789474,0,0,"02/23/2023, 02:24:05"
8478009,2,Ilya Sorokin,New York Islanders,Y,Goalie,30,43,19,17,0,5,0.923896,2.426399,1214,5,41,14.619231406976747,0,0,"02/23/2023, 02:24:08"
8470860,3,Jaroslav Halak,New York Rangers,Y,Goalie,41,16,8,6,0,0,0.906874,2.637409,409,2,16,11.912818499999997,0,0,"02/23/2023, 02:24:09"
8478048,3,Igor Shesterkin,New York Rangers,Y,Goalie,31,41,25,9,0,1,0.911862,2.588484,1107,7,41,13.937866975609754,0,0,"02/23/2023, 02:24:11"
8478433,4,Felix Sandstrom,Philadelphia Flyers,Y,Goalie,32,11,1,8,0,0,0.880399,3.516579,265,1,10,5.282882590909091,0,0,"02/23/2023, 02:24:17"
8479394,4,Carter Hart,Philadelphia Flyers,Y,Goalie,79,43,16,18,0,1,0.909161,2.886242,1181,9,42,11.867920441860464,0,0,"02/23/2023, 02:24:17"
8481035,4,Samuel Ersson,Philadelphia Flyers,Y,Goalie,33,9,6,0,0,1,0.913043,2.561822,210,0,7,11.811400777777777,0,0,"02/23/2023, 02:24:19"
8477465,5,Tristan Jarry,Pittsburgh Penguins,Y,Goalie,35,28,16,6,0,1,0.920393,2.66737,844,5,28,15.692776428571424,0,0,"02/23/2023, 02:24:22"
8479193,5,Casey DeSmith,Pittsburgh Penguins,Y,Goalie,1,27,10,12,0,0,0.903935,3.280452,781,4,26,11.285084666666664,0,0,"02/23/2023, 02:24:23"
