id,teamid,playername,currentteam,position,status,jerseynumber,goals,GPG,assists,APG,pim,shots,SPG,games,hits,powerplaygoals,powerplaypoints,faceoffpct,plusminus,blocked,BPG,points,PPG,FPPG,timeonicepergame,powerPlayTimeOnIcePerGame,hot,cold,lastupdated
8474090,1,Brendan Smith,New Jersey Devils,Defenseman,Y,2,0,0.0,5,0.1,57,45,0.9,50,88,0,0,0.0,-1,61,1.22,5,0.1,3.44,15.29,0.01,0,0,"02/20/2023, 01:25:22"
8475193,1,Tomas Tatar,New Jersey Devils,Left Wing,Y,90,12,0.22,19,0.35,22,101,1.84,55,45,1,3,35.48,31,24,0.44,31,0.56,6.95,15.16,1.53,0,0,"02/20/2023, 01:25:22"
8475287,1,Erik Haula,New Jersey Devils,Left Wing,Y,56,5,0.09,19,0.35,39,111,2.02,55,66,1,3,55.96,10,44,0.8,24,0.44,6.58,16.53,1.14,0,0,"02/20/2023, 01:25:22"
8476292,1,Ondrej Palat,New Jersey Devils,Left Wing,Y,18,6,0.26,8,0.35,2,38,1.65,23,48,0,2,0.0,6,26,1.13,14,0.61,7.9,16.36,1.37,0,0,"02/20/2023, 01:25:22"
8476462,1,Dougie Hamilton,New Jersey Devils,Defenseman,Y,7,16,0.29,37,0.67,38,198,3.6,55,47,8,24,0.0,17,60,1.09,53,0.96,12.63,22.13,3.1,0,0,"02/20/2023, 01:25:22"
8476923,1,Damon Severson,New Jersey Devils,Defenseman,Y,28,4,0.07,14,0.26,30,68,1.26,54,30,0,2,0.0,5,78,1.44,18,0.33,5.66,20.18,1.25,0,0,"02/20/2023, 01:25:22"
8477425,1,Miles Wood,New Jersey Devils,Left Wing,Y,44,8,0.15,9,0.17,53,126,2.33,54,79,0,0,16.67,-3,13,0.24,17,0.31,5.93,12.48,1.16,0,0,"02/20/2023, 01:25:23"
8477435,1,Ryan Graves,New Jersey Devils,Defenseman,Y,33,6,0.12,12,0.23,20,93,1.79,52,66,0,0,0.0,32,106,2.04,18,0.35,7.51,19.37,0.03,1,0,"02/20/2023, 01:25:23"
8478399,1,Jonas Siegenthaler,New Jersey Devils,Defenseman,Y,71,2,0.04,13,0.24,38,58,1.07,54,67,1,1,0.0,23,101,1.87,15,0.28,5.58,20.45,0.07,0,0,"02/20/2023, 01:25:23"
8478507,1,John Marino,New Jersey Devils,Defenseman,Y,6,4,0.11,7,0.18,12,47,1.24,38,33,0,0,0.0,16,48,1.26,11,0.29,5.33,21.32,0.2,0,0,"02/20/2023, 01:25:24"
8479407,1,Jesper Bratt,New Jersey Devils,Left Wing,Y,63,22,0.4,32,0.58,6,141,2.56,55,15,7,19,0.0,18,18,0.33,54,0.98,10.57,17.38,2.55,0,0,"02/20/2023, 01:25:24"
8479414,1,Nathan Bastian,New Jersey Devils,Right Wing,Y,14,3,0.1,6,0.19,31,38,1.23,31,67,0,0,32.0,4,32,1.03,9,0.29,4.98,12.49,1.16,0,0,"02/20/2023, 01:25:24"
8479415,1,Michael McLeod,New Jersey Devils,Center,Y,20,4,0.07,15,0.27,32,65,1.18,55,88,0,0,58.76,4,38,0.69,19,0.35,4.61,12.32,0.04,0,0,"02/20/2023, 01:25:24"
8480002,1,Nico Hischier,New Jersey Devils,Center,Y,13,23,0.43,28,0.52,6,171,3.17,54,17,6,15,53.36,24,40,0.74,51,0.94,11.97,19.17,3.06,0,0,"02/20/2023, 01:25:24"
8480003,1,Jesper Boqvist,New Jersey Devils,Center,Y,70,5,0.11,5,0.11,0,40,0.89,45,25,0,0,33.33,1,15,0.33,10,0.22,3.25,10.56,0.06,0,0,"02/20/2023, 01:25:24"
8480188,1,Fabian Zetterlund,New Jersey Devils,Left Wing,Y,49,5,0.12,14,0.33,6,79,1.88,42,32,1,3,35.71,5,11,0.26,19,0.45,5.83,13.06,0.47,0,0,"02/20/2023, 01:25:25"
8480860,1,Kevin Bahl,New Jersey Devils,Defenseman,Y,88,1,0.05,1,0.05,19,12,0.57,21,31,0,0,0.0,-2,24,1.14,2,0.1,3.01,12.2,0.02,0,0,"02/20/2023, 01:25:25"
