id,teamname,name,division,divisionshort,abbreviation,lastupdated,gamesplayed,wins,losses,ot,pts,ptpctg,goalspergame,goalsagainstpergame,evggaratio,powerplaypercentage,powerplaygoals,powerplaygoalsagainst,powerplayopportunities,penaltykillpercentage,shotspergame,shotsallowed,winscorefirst,winoppscorefirst,winleadfirstper,winleadsecondper,winoutshootopp,winoutshotbyopp,faceoffstaken,faceoffswon,faceoffslost,faceoffwinpercentage,shootingpctg,savepctg,wins_r,losses_r,ot_r,pts_r,ptpctg_r,goalspergame_r,goalsagainstpergame_r,evggaratio_r,powerplaypercentage_r,powerplaygoals_r,powerplaygoalsagainst_r,powerplayopportunities_r,penaltykillopportunities_r,penaltykillpercentage_r,shotspergame_r,shotsallowed_r,winscorefirst_r,winoppscorefirst_r,winleadfirstper_r,winleadsecondper_r,winoutshootopp_r,winoutshotbyopp_r,faceoffstaken_r,faceoffswon_r,faceoffslost_r,faceoffwinpercentage_r,savepctrank_r,shootingpctrank_r,pytha_exp,win_perc,win_pytha_diff
1,Devils,New Jersey Devils,Metropolitan,Metro,NJD,"01/21/2023, 21:30:24",45,29,12,4,62,68.9,3.511,2.644,1.473,20.4,28.0,27.0,137.0,80.8,34.5556,28.0444,0.708,0.571,0.692,0.955,0.594,0.75,2630.0,1336.0,1294.0,50.8,10.2,0.906,2,4,18,4,3,6,5,3,22,22,8,24,14,11,4,3,12,2,19,3,11,11,15,12,17,12,13,14,64.5,64.444,0.056
2,Islanders,New York Islanders,Metropolitan,Metro,NYI,"01/21/2023, 21:30:24",47,23,19,5,51,54.3,2.957,2.723,1.2375,16.9,23.0,24.0,136.0,82.7,30.4043,31.383,0.652,0.348,0.643,0.8,0.571,0.423,2635.0,1316.0,1319.0,49.9,9.7,0.913,17,20,13,17,19,24,8,7,27,28,4,25,13,5,21,17,20,18,26,21,14,14,14,16,20,16,6,20,54.3,48.936,5.364
3,Rangers,New York Rangers,Metropolitan,Metro,NYR,"01/21/2023, 21:30:24",46,25,14,7,57,62.0,3.109,2.63,1.122,21.6,32.0,25.0,148.0,81.1,32.8913,29.1304,0.667,0.409,0.571,0.733,0.536,0.588,2484.0,1216.0,1268.0,49.0,9.5,0.91,11,8,7,10,10,18,4,10,16,14,6,15,7,9,9,7,16,10,30,26,19,19,25,24,9,21,8,21,58.7,54.348,4.352
4,Flyers,Philadelphia Flyers,Metropolitan,Metro,PHI,"01/21/2023, 21:30:24",46,19,20,7,45,48.9,2.783,3.217,0.9032,16.1,23.0,32.0,143.0,75.8,30.0435,31.6522,0.471,0.379,0.667,0.933,0.435,0.409,2604.0,1199.0,1405.0,46.0,9.3,0.898,25,24,9,24,24,26,18,24,29,29,20,18,8,21,22,18,30,4,21,10,26,26,17,26,27,28,17,24,42.4,41.304,1.096
5,Penguins,Pittsburgh Penguins,Metropolitan,Metro,PIT,"01/21/2023, 21:30:24",45,23,15,7,53,58.9,3.244,3.022,1.011,21.2,34.0,27.0,160.0,81.9,32.3778,33.7778,0.542,0.476,0.643,0.727,0.722,0.346,2617.0,1364.0,1253.0,52.1,10.0,0.911,16,10,8,15,13,11,16,19,17,13,10,7,18,7,12,27,22,8,25,27,2,2,16,10,7,9,7,17,53.7,51.111,2.589
6,Bruins,Boston Bruins,Atlantic,ATL,BOS,"01/21/2023, 21:30:24",45,36,5,4,76,84.4,3.8,2.067,1.7742,27.1,42.0,21.0,155.0,87.0,33.8222,29.1778,0.92,0.65,1.0,0.962,0.741,0.882,2565.0,1438.0,1127.0,56.1,11.2,0.929,1,1,17,1,1,1,1,1,3,4,2,8,25,1,5,8,1,1,1,2,1,1,20,4,2,2,1,5,78.2,80.0,-1.8
7,Sabres,Buffalo Sabres,Atlantic,ATL,BUF,"01/21/2023, 21:30:24",45,23,19,3,49,54.4,3.8,3.444,1.0297,26.5,43.0,36.0,162.0,73.9,32.6889,32.9556,0.8,0.28,0.8,0.889,0.5,0.522,2691.0,1215.0,1476.0,45.1,11.6,0.895,19,21,24,20,18,2,24,18,5,3,24,5,12,26,10,25,19,21,8,12,21,21,10,25,30,32,19,2,55.1,51.111,3.989
8,Canadiens,Montréal Canadiens,Atlantic,ATL,MTL,"01/21/2023, 21:30:24",46,19,24,3,41,44.6,2.565,3.674,0.8173,15.4,22.0,44.0,143.0,73.7,27.913,33.8913,0.625,0.3,0.667,0.727,0.583,0.353,2559.0,1275.0,1284.0,49.8,9.2,0.892,26,27,27,26,26,29,28,27,31,30,29,19,29,27,30,28,25,13,22,28,13,13,23,21,15,18,25,25,32.0,41.304,-9.304
9,Senators,Ottawa Senators,Atlantic,ATL,OTT,"01/21/2023, 21:30:24",45,20,22,3,43,47.8,2.911,3.267,0.6733,26.9,46.0,29.0,171.0,81.0,33.7556,31.7778,0.579,0.346,0.615,0.857,0.556,0.294,2654.0,1384.0,1270.0,52.1,8.6,0.897,23,25,26,25,25,25,20,29,4,2,14,1,21,10,6,19,24,12,28,16,16,16,13,9,12,8,18,31,44.0,44.444,-0.444
10,Maple Leafs,Toronto Maple Leafs,Atlantic,ATL,TOR,"01/21/2023, 21:30:24",46,28,11,7,63,68.5,3.391,2.63,1.3562,24.7,37.0,31.0,150.0,78.2,31.5435,28.587,0.72,0.476,0.789,0.8,0.621,0.563,2468.0,1305.0,1163.0,52.9,10.8,0.908,6,3,5,3,4,8,3,4,9,9,16,13,15,17,17,5,10,5,9,20,8,8,27,17,3,6,10,6,63.0,60.87,2.13
